date,description,amount
2024-01-01,Salary Deposit,50000.00
2024-01-02,Supermarket Groceries,1200.00
2024-01-02,Cafe Coffee,150.00
2024-01-03,Uber Ride to Office,250.00
2024-01-03,Mobile Recharge,499.00
2024-01-04,Netflix Subscription,199.00
2024-01-04,Restaurant Dinner,1500.00
2024-01-05,Pharmacy Medicine,450.00
2024-01-05,Cinema Ticket,300.00
2024-01-06,Petrol for Car,1000.00
2024-01-07,Online Shopping Clothes,2500.00
2024-01-07,Milk and Bread,200.00
2024-01-08,Internet Bill,799.00
2024-01-08,Gym Membership,500.00
2024-01-09,Fruits and Vegetables,400.00
2024-01-09,Pizza Order,600.00
2024-01-10,Auto Rickshaw,50.00
2024-01-10,Book Purchase,350.00
2024-01-11,Doctor Consultation,500.00
2024-01-11,Electricity Bill,1200.00
2024-01-12,Amazon Prime,129.00
2024-01-12,Dinner with Friends,1800.00
2024-01-13,Supermarket Groceries,1500.00
2024-01-13,Spotify Subscription,129.00
2024-01-14,Water Bill,300.00
2024-01-14,Movie and Popcorn,400.00
2024-01-15,Salon Haircut,300.00
2024-01-15,Gas Cylinder,500.00
2024-01-16,Bus Pass Monthly,300.00
2024-01-16,Bhaiya Lunch,250.00
